"FR father","IN father","FR mother","IN mother","Father match %","Mother match %","FR family ID","IN family ID"
"DAVID ARQUETTE","KURT COBAIN","COURTENEY COX","COURTNEY LOVE","24","77","Family_14","Family_43"
"MICHAEL LOHAN","MICHAEL JORDAN","DINA LOHAN","JUANITA VANOY","81","43","Family_23","Family_63"
"BRIAN WILLIAMS","BRIAN WILSON","JANE STODDARD WILLIAMS","MARILYN WILSON","77","39","Family_29","Family_99"
"BRIAN WILSON","BRIAN WILLIAMS","MARILYN WILSON","JANE STODDARD WILLIAMS","77","39","Family_99","Family_29"
